participant_id	age	sex	handedness
A00008326	59.0	FEMALE	RIGHT
A00008399	23.0	MALE	RIGHT
A00010893	28.0	MALE	n/a
A00013809	61.0	FEMALE	RIGHT
A00019903	83.0	MALE	RIGHT
A00021039	67.0	FEMALE	RIGHT
A00023510	23.0	MALE	n/a
A00025566	72.0	MALE	RIGHT 
A00027443	15.0	MALE	RIGHT
A00027544	22.0	MALE	RIGHT
A00027651	68.0	FEMALE	LEFT
A00028150	44.0	FEMALE	RIGHT
A00028152	51.0	MALE	RIGHT
A00028177	24.0	FEMALE	RIGHT
A00028184	57.0	MALE	LEFT
A00028192	49.0	MALE	RIGHT
A00028207	26.0	FEMALE	RIGHT
A00028246	55.0	FEMALE	RIGHT
A00028266	65.0	FEMALE	RIGHT
A00028287	21.0	FEMALE	RIGHT
A00028339	56.0	FEMALE	RIGHT
A00028340	75.0	FEMALE	RIGHT
A00028380	60.0	FEMALE	RIGHT
A00028389	61.0	MALE	RIGHT
A00028399	53.0	MALE	RIGHT
A00028400	48.0	FEMALE	RIGHT
A00028429	20.0	FEMALE	RIGHT
A00028430	57.0	FEMALE	RIGHT
A00028468	46.0	MALE	RIGHT
A00028522	84.0	MALE	n/a
A00028552	61.0	FEMALE	n/a
A00028605	59.0	MALE	n/a
A00028606	22.0	MALE	n/a
A00028613	64.0	FEMALE	RIGHT
A00028625	73.0	MALE	RIGHT
A00028656	20.0	FEMALE	RIGHT
A00028678	69.0	MALE	RIGHT
A00028691	59.0	FEMALE	RIGHT
A00028694	25.0	FEMALE	RIGHT
A00028753	41.0	FEMALE	RIGHT
A00028754	42.0	FEMALE	RIGHT
A00028766	19.0	MALE	RIGHT
A00028784	43.0	FEMALE	RIGHT
A00028822	57.0	FEMALE	RIGHT
A00028842	42.0	MALE	RIGHT
A00028844	19.0	MALE	RIGHT
A00028845	76.0	MALE	RIGHT
A00028858	80.0	MALE	RIGHT
A00028912	67.0	MALE	RIGHT
A00028929	63.0	FEMALE	RIGHT
A00028994	54.0	FEMALE	RIGHT
A00028995	49.0	FEMALE	RIGHT
A00029075	71.0	MALE	n/a
A00029076	20.0	MALE	RIGHT
A00029092	20.0	FEMALE	RIGHT
A00029104	44.0	FEMALE	RIGHT
A00029126	34.0	MALE	n/a
A00029127	23.0	MALE	RIGHT
A00029215	54.0	FEMALE	RIGHT
A00029219	77.0	MALE	LEFT
A00029230	51.0	FEMALE	RIGHT
A00029231	23.0	FEMALE	RIGHT
A00029303	19.0	FEMALE	RIGHT
A00029304	32.0	MALE	RIGHT
A00029979	20.0	FEMALE	RIGHT
A00030912	62.0	FEMALE	RIGHT
A00030913	18.0	MALE	RIGHT
A00030947	36.0	FEMALE	RIGHT
A00030980	13.0	FEMALE	RIGHT
A00030981	15.0	FEMALE	RIGHT
A00030989	30.0	FEMALE	RIGHT
A00030990	66.0	FEMALE	RIGHT
A00031145	18.0	MALE	RIGHT
A00031166	21.0	MALE	RIGHT
A00031167	47.0	FEMALE	RIGHT
A00031216	18.0	FEMALE	RIGHT
A00031217	18.0	MALE	RIGHT
A00031219	17.0	FEMALE	n/a
A00031272	22.0	FEMALE	RIGHT
A00031410	9.0	FEMALE	LEFT
A00031411	9.0	FEMALE	RIGHT
A00031452	50.0	MALE	RIGHT
A00031459	20.0	MALE	RIGHT
A00031549	23.0	FEMALE	RIGHT
A00031604	25.0	FEMALE	RIGHT
A00031605	39.0	FEMALE	n/a
A00031625	30.0	FEMALE	RIGHT
A00031683	51.0	MALE	n/a
A00031794	63.0	FEMALE	RIGHT
A00031871	33.0	MALE	RIGHT
A00031872	59.0	MALE	RIGHT
A00031893	51.0	FEMALE	RIGHT
A00031894	41.0	MALE	RIGHT
A00032007	20.0	MALE	RIGHT
A00032008	6.0	FEMALE	n/a
A00032010	76.0	FEMALE	RIGHT
A00032817	11.0	MALE	LEFT
A00032862	50.0	FEMALE	RIGHT
A00032875	37.0	FEMALE	LEFT
A00032876	60.0	FEMALE	RIGHT
A00033011	41.0	FEMALE	RIGHT
A00033021	74.0	FEMALE	RIGHT
A00033180	18.0	FEMALE	RIGHT
A00033231	18.0	MALE	RIGHT
A00033232	27.0	MALE	RIGHT
A00033247	22.0	MALE	RIGHT
A00033248	21.0	MALE	RIGHT
A00033589	58.0	FEMALE	RIGHT
A00033609	47.0	MALE	RIGHT
A00033640	21.0	MALE	LEFT
A00033643	26.0	MALE	RIGHT
A00033647	68.0	FEMALE	RIGHT
A00033673	66.0	FEMALE	RIGHT
A00033734	63.0	FEMALE	RIGHT
A00033735	70.0	FEMALE	RIGHT
A00033748	58.0	FEMALE	RIGHT
A00033752	65.0	FEMALE	RIGHT
A00033764	48.0	FEMALE	RIGHT
A00033832	39.0	FEMALE	RIGHT
A00033834	51.0	FEMALE	RIGHT
A00033849	57.0	FEMALE	RIGHT
A00033903	58.0	FEMALE	RIGHT
A00033962	65.0	MALE	RIGHT
A00033963	66.0	FEMALE	RIGHT
A00033998	62.0	MALE	RIGHT
A00034073	16.0	MALE	RIGHT
A00034074	17.0	FEMALE	RIGHT
A00034093	75.0	MALE	RIGHT
A00034193	27.0	FEMALE	RIGHT
A00034385	34.0	FEMALE	RIGHT
A00034400	59.0	FEMALE	RIGHT
A00034827	47.0	MALE	RIGHT
A00034987	42.0	FEMALE	RIGHT
A00035036	30.0	MALE	RIGHT
A00035054	81.0	MALE	RIGHT
A00035076	73.0	MALE	RIGHT
A00035337	81.0	FEMALE	RIGHT
A00035363	22.0	MALE	RIGHT
A00035378	54.0	FEMALE	RIGHT
A00035437	56.0	FEMALE	RIGHT
A00035440	62.0	FEMALE	RIGHT
A00035504	49.0	FEMALE	RIGHT
A00035535	43.0	FEMALE	RIGHT
A00035553	23.0	MALE	RIGHT
A00035562	51.0	FEMALE	RIGHT
A00035606	48.0	FEMALE	RIGHT
A00035608	24.0	MALE	n/a
A00035625	49.0	FEMALE	RIGHT
A00035633	49.0	MALE	RIGHT
A00035699	46.0	FEMALE	RIGHT
A00035744	49.0	FEMALE	RIGHT
A00035765	40.0	FEMALE	RIGHT
A00035798	44.0	MALE	RIGHT
A00035869	12.0	FEMALE	LEFT
A00035879	22.0	MALE	RIGHT
A00035881	24.0	FEMALE	RIGHT
A00035926	21.0	MALE	RIGHT
A00035941	14.0	FEMALE	RIGHT
A00035943	26.0	FEMALE	RIGHT
A00035951	44.0	MALE	RIGHT
A00035960	21.0	FEMALE	LEFT
A00037110	52.0	FEMALE	RIGHT
A00037111	52.0	FEMALE	RIGHT
A00037125	7.0	FEMALE	AMBIDEXTEROUS
A00037266	24.0	MALE	LEFT
A00037267	54.0	FEMALE	RIGHT
A00037368	12.0	MALE	RIGHT
A00037375	55.0	MALE	RIGHT
A00037377	49.0	FEMALE	RIGHT
A00037378	24.0	MALE	RIGHT
A00037386	57.0	FEMALE	RIGHT
A00037387	18.0	MALE	RIGHT
A00037396	31.0	FEMALE	RIGHT
A00037421	44.0	FEMALE	RIGHT
A00037439	53.0	MALE	RIGHT
A00037445	31.0	FEMALE	RIGHT
A00037457	55.0	FEMALE	RIGHT
A00037458	16.0	FEMALE	RIGHT
A00037459	13.0	MALE	LEFT
A00037476	20.0	MALE	RIGHT
A00037483	11.0	MALE	RIGHT
A00037492	55.0	MALE	RIGHT
A00037510	60.0	FEMALE	RIGHT
A00037522	64.0	MALE	RIGHT
A00037531	21.0	FEMALE	RIGHT
A00037545	58.0	MALE	RIGHT
A00037582	37.0	MALE	LEFT
A00037588	57.0	MALE	RIGHT
A00037635	59.0	MALE	RIGHT
A00037646	53.0	FEMALE	RIGHT
A00037647	24.0	FEMALE	RIGHT
A00037725	30.0	MALE	RIGHT
A00037726	56.0	FEMALE	RIGHT
A00037767	54.0	FEMALE	RIGHT
A00037768	41.0	FEMALE	RIGHT
A00037783	38.0	MALE	RIGHT
A00037784	41.0	MALE	RIGHT
A00037817	55.0	FEMALE	RIGHT
A00037818	74.0	MALE	RIGHT
A00037831	49.0	FEMALE	RIGHT
A00037866	37.0	MALE	RIGHT
A00037877	19.0	FEMALE	RIGHT
A00038115	38.0	FEMALE	RIGHT
A00038158	18.0	MALE	RIGHT
A00038159	18.0	MALE	RIGHT
A00038189	29.0	FEMALE	RIGHT
A00038285	19.0	MALE	RIGHT
A00038411	44.0	FEMALE	RIGHT
A00038414	60.0	FEMALE	RIGHT
A00038424	66.0	FEMALE	RIGHT
A00038519	78.0	FEMALE	RIGHT
A00038520	62.0	FEMALE	RIGHT
A00038522	25.0	MALE	RIGHT
A00038605	20.0	FEMALE	n/a
A00038616	29.0	MALE	n/a
A00038623	42.0	FEMALE	RIGHT
A00038642	28.0	MALE	RIGHT
A00038706	13.0	MALE	RIGHT
A00038718	21.0	MALE	RIGHT
A00038731	21.0	FEMALE	RIGHT
A00038805	70.0	FEMALE	RIGHT
A00038806	62.0	FEMALE	RIGHT
A00038817	49.0	FEMALE	LEFT
A00038831	23.0	MALE	RIGHT
A00038832	19.0	FEMALE	RIGHT
A00038957	50.0	FEMALE	RIGHT
A00038959	57.0	FEMALE	RIGHT
A00039040	83.0	FEMALE	RIGHT
A00039041	60.0	FEMALE	RIGHT
A00039074	47.0	FEMALE	RIGHT
A00039075	16.0	MALE	RIGHT
A00039083	79.0	FEMALE	RIGHT
A00039084	27.0	FEMALE	RIGHT
A00039118	49.0	FEMALE	RIGHT
A00039143	24.0	FEMALE	RIGHT
A00039159	18.0	FEMALE	RIGHT
A00039168	50.0	MALE	LEFT
A00039218	26.0	MALE	RIGHT
A00039249	52.0	FEMALE	RIGHT
A00039257	55.0	FEMALE	LEFT
A00039276	58.0	FEMALE	RIGHT
A00039331	59.0	FEMALE	RIGHT
A00039353	52.0	FEMALE	LEFT
A00039391	37.0	FEMALE	RIGHT
A00039393	49.0	FEMALE	LEFT
A00039431	33.0	FEMALE	RIGHT
A00039432	59.0	FEMALE	RIGHT
A00039461	45.0	MALE	RIGHT
A00039463	25.0	FEMALE	RIGHT
A00039490	71.0	FEMALE	RIGHT
A00039500	45.0	FEMALE	RIGHT
A00039559	66.0	MALE	RIGHT
A00039560	48.0	FEMALE	RIGHT
A00039593	66.0	FEMALE	RIGHT
A00039607	42.0	FEMALE	RIGHT
A00039635	53.0	FEMALE	RIGHT
A00039636	23.0	MALE	RIGHT
A00039639	71.0	MALE	RIGHT
A00039640	68.0	FEMALE	RIGHT
A00039655	69.0	MALE	RIGHT
A00039657	83.0	FEMALE	RIGHT
A00039669	61.0	FEMALE	RIGHT
A00039685	50.0	MALE	LEFT
A00039686	21.0	FEMALE	RIGHT
A00039699	59.0	MALE	RIGHT
A00039700	77.0	FEMALE	LEFT
A00039755	22.0	FEMALE	RIGHT
A00039758	66.0	MALE	LEFT
A00039783	74.0	MALE	RIGHT
A00039820	57.0	FEMALE	RIGHT
A00039845	72.0	FEMALE	RIGHT
A00039846	58.0	FEMALE	RIGHT
A00039866	12.0	FEMALE	RIGHT
A00039895	50.0	FEMALE	RIGHT
A00039916	72.0	FEMALE	RIGHT
A00039923	72.0	FEMALE	RIGHT
A00039951	42.0	MALE	RIGHT
A00039952	65.0	FEMALE	RIGHT
A00039966	69.0	FEMALE	LEFT
A00039974	60.0	FEMALE	LEFT
A00040116	50.0	FEMALE	RIGHT
A00040151	32.0	FEMALE	RIGHT
A00040152	76.0	MALE	RIGHT
A00040174	48.0	FEMALE	RIGHT
A00040181	85.0	FEMALE	RIGHT
A00040182	71.0	FEMALE	RIGHT
A00040193	35.0	FEMALE	RIGHT
A00040248	77.0	FEMALE	RIGHT
A00040257	70.0	FEMALE	RIGHT
A00040285	68.0	MALE	RIGHT
A00040286	65.0	FEMALE	RIGHT
A00040301	23.0	FEMALE	n/a
A00040311	66.0	FEMALE	RIGHT
A00040312	66.0	MALE	RIGHT
A00040324	70.0	MALE	RIGHT
A00040342	13.0	FEMALE	RIGHT
A00040343	63.0	FEMALE	RIGHT
A00040351	75.0	FEMALE	RIGHT
A00040382	79.0	MALE	RIGHT
A00040383	52.0	FEMALE	n/a
A00040439	58.0	FEMALE	RIGHT
A00040440	8.0	FEMALE	RIGHT
A00040461	52.0	FEMALE	RIGHT
A00040462	47.0	FEMALE	RIGHT
A00040493	45.0	FEMALE	RIGHT
A00040494	45.0	FEMALE	RIGHT
A00040500	51.0	FEMALE	RIGHT
A00040517	61.0	MALE	RIGHT
A00040524	25.0	FEMALE	RIGHT
A00040525	43.0	FEMALE	RIGHT
A00040556	9.0	MALE	LEFT
A00040567	65.0	FEMALE	LEFT
A00040573	27.0	FEMALE	RIGHT
A00040580	60.0	FEMALE	RIGHT
A00040594	51.0	MALE	LEFT
A00040599	61.0	FEMALE	RIGHT
A00040623	34.0	FEMALE	RIGHT
A00040628	20.0	FEMALE	RIGHT
A00040629	76.0	FEMALE	LEFT
A00040640	28.0	FEMALE	RIGHT
A00040678	46.0	FEMALE	RIGHT
A00040740	23.0	MALE	RIGHT
A00040741	66.0	FEMALE	RIGHT
A00040757	49.0	FEMALE	RIGHT
A00040784	60.0	FEMALE	RIGHT
A00040798	11.0	MALE	RIGHT
A00040800	16.0	MALE	LEFT
A00040806	45.0	MALE	RIGHT
A00040827	18.0	FEMALE	RIGHT
A00040891	57.0	FEMALE	RIGHT
A00040915	21.0	MALE	RIGHT
A00040944	35.0	MALE	RIGHT
A00041503	8.0	MALE	RIGHT
A00041540	46.0	FEMALE	RIGHT
A00043240	15.0	FEMALE	LEFT
A00043282	16.0	FEMALE	RIGHT
A00043283	44.0	MALE	RIGHT
A00043299	34.0	FEMALE	RIGHT
A00043324	46.0	FEMALE	RIGHT
A00043325	56.0	MALE	RIGHT
A00043384	21.0	FEMALE	RIGHT
A00043417	53.0	FEMALE	RIGHT
A00043450	22.0	FEMALE	RIGHT
A00043462	21.0	MALE	LEFT
A00043466	20.0	MALE	RIGHT
A00043494	9.0	MALE	RIGHT
A00043509	23.0	MALE	RIGHT
